division_id,division_name,division_code
1,"Crop and Animal Production, Hunting and Related Service Activities",A01
2,Forestry and Logging,A02
3,Fishing and Aquaculture,A03
4,Mining of Coal and Lignite,B05
5,Extraction of Crude Petroleum and Natural Gas,B06
6,Mining of Metal Ores,B07
7,other Mining and Quarrying,B08
8,Mining Support Service Activities,B09
9,Manufacture of Food Products,C10
10,Manufacture of Beverages,C11
11,Manufacture of Tobacco Products,C12
12,Manufacture of Textiles,C13
13,Manufacture of Wearing Apparel,C14
14,Manufacture of Leather and Related Products,C15
15,Manufacture of Wood and of Products of Wood and Co...,C16
16,Manufacture of Paper and Paper Products,C17
17,Printing and Reproduction of Recorded Media,C18
18,Manufacture of Coke and Refined Petroleum Products,C19
19,Manufacture of Chemicals and Chemical Products,C20
20,Manufacture of Basic Pharmaceutical Products and P...,C21
21,Manufacture of Rubber and Plastic Products,C22
22,Manufacture of other Non-Metallic Mineral Products,C23
23,Manufacture of Basic Metals,C24
24,"Manufacture of Fabricated Metal Products, Except M...",C25
25,"Manufacture of Computer, Electronic and Optical Pr...",C26
26,Manufacture of Electrical Equipment,C27
27,"Manufacture of Machinery and Equipment, N.E.C.",C28
28,"Manufacture of Motor Vehicles, Trailers and Semi-T...",C29
29,Manufacture of other Transport Equipment,C30
30,Manufacture of Furniture,C31
31,other Manufacturing,C32
32,Repair and Installation of Machinery and Equipment,C33
33,"Electricity, Gas, Steam and Air Conditioning Suppl...",D35
34,"Water Collection, Treatment and Supply",E36
35,Sewerage,E37
36,"Waste Collection, Treatment and Disposal Activitie...",E38
37,Remediation Activities and other Waste Management ...,E39
38,Construction of Buildings,F41
39,Civil Engineering,F42
40,Specialized Construction Activities,F43
41,Wholesale and Retail Trade and Repair of Motor Veh...,G45
42,"Wholesale Trade, Except of Motor Vehicles and Moto...",G46
43,"Retail Trade, Except of Motor Vehicles and Motorcy...",G47
44,Land Transport and Transport Via Pipelines,H49
45,Water Transport,H50
46,Air Transport,H51
47,Warehousing and Support Activities For Transportat...,H52
48,Postal and Courier Activities,H53
49,Accommodation,I55
50,Food and Beverage Service Activities,I56
51,Publishing Activities,J58
52,"Motion Picture, Video and Television Programme Pro...",J59
53,Programming and Broadcasting Activities,J60
54,Telecommunications,J61
55,"Computer Programming, Consultancy and Related Acti...",J62
56,Information Service Activities,J63
57,"Financial Service Activities, Except Insurance and...",K64
58,"Insurance, Reinsurance and Pension Funding, Except...",K65
59,Activities Auxiliary To Financial Service and Insu...,K66
60,Real Estate Activities,L68
61,Legal and Accounting Activities,M69
62,Activities of head offices; management consultancy...,M70
63,Architecture and Engineering activities; technical...,M71
64,Scientific Research and Development,M72
65,Advertising and Market Research,M73
66,"other Professional, Scientific and Technical Activ...",M74
67,Veterinary Activities,M75
68,Rental and Leasing Activities,N77
69,Employment Activities,N78
70,"Travel Agency, Tour Operator, Reservation Service ...",N79
71,Security and Investigation Activities,N80
72,Services to Buildings and Landscape Activities,N81
73,"Office Administrative, office Support and other Bu...",N82
74,Public Administration and Defense; Compulsory Soci...,O84
75,Education,P85
76,Human Health Activities,Q86
77,Residential Care Activities,Q87
78,Social Work Activities Without Accomodation,Q88
79,"Creative, Arts and Entertainment Activities",R90
80,"Libraries, Archives, Museums and other Cultural Ac...",R91
81,Gambling and Betting Activities,R92
82,Sports Activities and Amusement and Recreation Act...,R93
83,Activities of Membership Organizations,S94
84,Repair of Computers and Personal and Household Goo...,S95
85,other Personal Service Activities,S96
86,Activities of households as employers of domestic ...,T97
87,Undifferentiated Goods-and-Services-Producing Acti...,T98
88,Activities of Extra-Territorial Organizations and ...,U99
