section_id,section_name,section_code
1,"AGRICULTURE, FORESTRY AND FISHING",A
2,MINING AND QUARRYING,B
3,MANUFACTURING,C
4,"ELECTRICITY, GAS, STEAM AND AIR-CONDITIONING SUPPLY",D
5,"WATER SUPPLY, SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",E
6,CONSTRUCTION,F
7,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,G
8,TRANSPORTATION AND STORAGE,H
9,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,I
10,INFORMATION AND COMMUNICATION,J
11,FINANCIAL AND INSURANCE ACTIVITIES,K
12,REAL ESTATE ACTIVITIES,L
13,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",M
14,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,N
16,EDUCATION,P
17,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,Q
18,"ARTS, ENTERTAINMENT AND RECREATION",R
19,OTHER SERVICE ACTIVITIES,S
